State,Clinton's total donations ($)
AK,547369.6
AL,1917914
AR,2466774
AZ,4383767
CA,95186810
CO,8630722
CT,8330325
DC,17892460
DE,818489.8
FL,22335670
GA,7160014
HI,1134283
IA,1751538
ID,597680.5
IL,16382070
IN,2562243
KS,1344051
KY,1695752
LA,1988203
MA,21621460
MD,16412230
ME,1697651
MI,6600680
MN,5212895
MO,4390591
MS,622433.9
MT,557691.3
NC,6746156
ND,235383.2
NE,912175.9
NH,1613273
NJ,12542720
NM,2611356
NV,2381791
NY,146331300
OH,6793320
OK,2085660
OR,4856192
PA,12993100
RI,1714303
SC,2323836
SD,404343.6
TN,3802266
TX,22982450
UT,1281651
VA,16235740
VT,830135.3
WA,12928510
WI,2809717
WV,641566.9
WY,458347.7
