cand_nm,Total donations ($)
"Sanders, Bernard",4717836.44
"O'Malley, Martin Joseph",559166.79
"Kasich, John R.",436265.17
"Trump, Donald J.",423363.73
"Cruz, Rafael Edward 'Ted'",291553.77
"Bush, Jeb",270618.3
"Rubio, Marco",209683.27
"Graham, Lindsey O.",132011.6
"Lessig, Lawrence",114634.89
"Christie, Christopher J.",112480
"Johnson, Gary",59852.4
"Webb, James Henry Jr.",57375.09
"Paul, Rand",52790.17
"Pataki, George E.",42500
"Walker, Scott",40638
"Carson, Benjamin S.",38221.16
"Jindal, Bobby",28200
"Fiorina, Carly",26063
"McMullin, Evan",23974.5
"Huckabee, Mike",20842.5
"Stein, Jill",18109
"Perry, James R. (Rick)",2700
"Santorum, Richard J.",2000
