State,Trump's total donations ($)
AK,397229.62
AL,1853748.79
AR,814550.06
AZ,3044954.57
CA,13279080.86
CO,2488754.77
CT,1059529.21
DC,246229.66
DE,282341
FL,12144194.46
GA,4749454.24
HI,317838.9
IA,980425
ID,547056.15
IL,3339005.69
IN,2031892.78
KS,986483.33
KY,1335869.01
LA,1940364.51
MA,1875022.23
MD,1667495.28
ME,244742.02
MI,2763179
MN,1324262.51
MO,1739500.94
MS,1295087.42
MT,462885.15
NC,3269066.24
ND,284812.79
NE,627320.68
NH,458237.68
NJ,2775371.79
NM,766839.81
NV,1739256.94
NY,5462686.53
OH,3787583.73
OK,1854557.35
OR,1057800.54
PA,3957350.67
RI,205049.49
SC,1723468.67
SD,308427.33
TN,2664010.7
TX,15067226.01
UT,701149.01
VA,3529329.75
VT,95574.13
WA,2467504.37
WI,1389238.97
WV,503895.81
WY,422031.51
