cand_nm,Total donations ($)
"Cruz, Rafael Edward 'Ted'",4518348.64
"Carson, Benjamin S.",2590864.14
"Rubio, Marco",1515031.74
"Clinton, Hillary Rodham",792800.17
"Fiorina, Carly",670430.06
"Walker, Scott",590573.43
"Kasich, John R.",389367.25
"Bush, Jeb",364482.91
"Paul, Rand",334842.39
"Huckabee, Mike",207417.57
"Sanders, Bernard",192944.07
"Christie, Christopher J.",164253
"Jindal, Bobby",62263.16
"Graham, Lindsey O.",62063
"Perry, James R. (Rick)",40148.16
"Santorum, Richard J.",40075
"Johnson, Gary",37499.39
"Stein, Jill",12771.2
"Pataki, George E.",8150
"O'Malley, Martin Joseph",7480.55
"Webb, James Henry Jr.",6325
"McMullin, Evan",2912.5
"Gilmore, James S III",1000
"Lessig, Lawrence",850
